image_name,100_loss,200_loss,300_loss
87.JPEG,23.699787139892575,22.080299377441406,22.080299377441406
88.JPEG,26.882158279418945,14.790453910827637,14.790453910827637
89.JPEG,17.67585563659668,25.483688354492188,30.442684173583984
90.JPEG,16.580577850341797,24.55045318603516,25.483688354492188
91.JPEG,26.117172241210938,27.446199417114254,24.55045318603516
92.JPEG,24.63902282714844,24.642505645751957,28.15561294555664
93.JPEG,24.604984283447266,28.336685180664062,24.10973358154297
94.JPEG,25.814022064208984,27.571453094482425,27.967851638793945
95.JPEG,27.366552352905277,28.40180015563965,29.59075736999512
96.JPEG,16.334383010864258,11.725560188293455,24.336254119873047
97.JPEG,23.532686233520508,22.8532657623291,22.146408081054688
98.JPEG,21.25356674194336,22.91088104248047,24.18369483947754
99.JPEG,22.76771545410156,21.93619155883789,27.50363540649414
100.JPEG,23.46479034423828,25.24927520751953,18.59495735168457
101.JPEG,NULL,26.748828887939453,23.728872299194336
102.JPEG,NULL,26.8278865814209,24.45869445800781
103.JPEG,NULL,29.934595108032227,22.67510414123535
104.JPEG,NULL,23.882022857666016,22.88905906677246
105.JPEG,NULL,24.702247619628903,27.446199417114254
106.JPEG,NULL,22.410768508911133,27.211368560791016
107.JPEG,NULL,23.07135581970215,24.800886154174805
108.JPEG,NULL,25.40677833557129,24.39361572265625
109.JPEG,NULL,27.7915096282959,24.642505645751957
110.JPEG,NULL,26.53026390075684,28.336685180664062
111.JPEG,NULL,23.53249931335449,21.346887588500977
112.JPEG,NULL,19.45331573486328,21.48691940307617
113.JPEG,NULL,28.766536712646484,22.848005294799805
114.JPEG,NULL,22.9089412689209,27.510560989379883
115.JPEG,NULL,23.894641876220703,22.276180267333984
116.JPEG,NULL,16.07187271118164,27.70794105529785
117.JPEG,NULL,20.42523956298828,18.927438735961918
118.JPEG,NULL,27.58539581298828,22.12652969360352
119.JPEG,NULL,20.17765998840332,33.112998962402344
120.JPEG,NULL,22.916154861450195,24.49939346313477
121.JPEG,NULL,21.2606143951416,28.601957321166992
122.JPEG,NULL,28.096790313720703,24.222078323364254
123.JPEG,NULL,21.79353141784668,21.62092018127441
124.JPEG,NULL,19.381065368652344,31.221216201782227
125.JPEG,NULL,28.450359344482425,24.62895393371582
126.JPEG,NULL,23.14420318603516,24.439302444458008
127.JPEG,NULL,22.65310287475586,23.125896453857425
128.JPEG,NULL,30.17951774597168,25.44621467590332
129.JPEG,NULL,10.068692207336426,21.94112205505371
130.JPEG,NULL,19.234115600585938,26.51896095275879
